Time resolution is 1 ps
Time: 1170105000 | State: 10 | Score:   76 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 1171335000 | State: 10 | Score:   77 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 1174995000 | State: 10 | Score:   78 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 1175005000 | State: 10 | Score:   78 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 1178685000 | State: 10 | Score:   80 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 1178695000 | State: 10 | Score:   80 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 1180365000 | State: 10 | Score:   83 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 1180775000 | State: 10 | Score:   83 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 1181765000 | State: 10 | Score:   83 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 1182995000 | State: 10 | Score:   88 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 1186655000 | State: 10 | Score:   93 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 1186665000 | State: 10 | Score:   93 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1188485000 | State: 10 | Score:   99 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1190315000 | State: 10 | Score:  105 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 1192745000 | State: 10 | Score:  105 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 1198235000 | State: 10 | Score:  105 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 1200075000 | State: 10 | Score:  113 | Level:  8 | Life Span:         60 | Gen Interval:         60
